Variable:,tas
Country:,Afghanistan
Subnational-unit:,Paktya
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-1.97,-0.74,5.84,9.54,13.88,18.34,20.35,19.88,16.80,10.90,6.70,1.62
1902,-0.10,0.06,5.03,9.33,15.32,19.43,20.22,19.98,16.52,11.28,5.56,0.80
1903,-2.84,-0.68,1.20,7.66,13.20,19.43,19.84,19.73,17.29,11.97,4.85,-0.04
1904,-4.94,0.68,4.46,9.46,14.27,19.58,20.45,19.98,16.19,10.11,6.40,1.66
1905,-3.20,-4.13,1.02,8.53,15.08,19.33,20.56,19.95,16.83,12.49,6.28,0.49
1906,-3.32,-2.11,3.49,7.82,15.08,19.28,20.52,20.63,16.20,12.01,6.38,2.28
1907,-0.46,-2.05,2.67,9.24,12.60,17.45,20.46,19.61,16.46,10.27,5.26,0.59
1908,-0.98,-0.71,3.66,9.85,13.80,19.07,20.81,19.28,15.96,9.77,5.94,0.52
1909,-3.58,-1.55,4.86,10.40,14.15,19.19,19.76,20.07,15.70,10.85,7.64,1.25
1910,-1.38,0.01,3.28,8.52,15.27,18.93,20.63,19.93,16.60,10.85,4.68,-2.21
1911,-1.84,-0.34,2.96,9.13,14.85,19.87,20.33,20.08,17.08,10.86,3.41,-0.54
1912,-1.49,0.83,3.86,10.04,14.13,19.49,20.96,19.28,15.12,11.76,4.66,0.40
1913,-0.50,-1.39,2.15,8.94,14.63,18.57,20.54,19.57,16.15,11.47,4.95,1.21
1914,1.02,-0.86,4.06,9.73,14.54,20.40,20.65,19.89,17.50,10.20,5.65,-0.90
1915,-1.27,-1.57,7.06,10.03,17.00,19.80,20.19,20.72,18.12,11.93,6.43,1.11
1916,0.04,-1.70,6.12,10.95,13.94,18.46,20.06,20.46,16.46,11.04,2.60,0.22
1917,0.26,1.93,4.79,8.80,14.53,18.54,19.89,19.30,15.97,10.02,4.05,0.13
1918,-2.14,-0.48,3.31,7.67,15.41,18.84,20.72,20.01,16.07,11.05,4.40,-1.03
1919,-3.44,-2.01,3.82,9.48,13.59,19.57,20.52,19.39,15.22,10.76,4.79,0.13
1920,-1.38,-3.19,3.95,7.76,11.63,17.69,19.96,19.11,16.65,11.73,4.29,-1.48
1921,-1.52,-1.55,4.52,10.95,14.13,18.36,20.35,18.71,15.82,10.62,5.15,1.60
1922,-1.17,0.07,5.28,10.07,13.66,18.51,20.38,19.81,16.27,10.72,5.52,1.28
1923,-1.78,-1.01,4.87,9.45,13.33,19.11,19.09,19.39,14.80,10.30,4.10,-0.75
1924,-2.03,-0.42,5.04,9.44,11.17,18.48,20.71,19.78,15.33,11.16,4.79,0.12
1925,-3.37,-3.15,5.71,10.61,14.36,18.72,20.23,19.31,16.51,11.66,4.39,1.69
1926,-0.71,0.70,4.23,7.37,13.26,18.72,20.43,20.35,16.76,10.77,2.34,0.67
1927,-3.63,-1.97,2.87,9.61,13.67,18.67,20.76,19.89,16.43,12.52,5.14,1.12
1928,-2.95,-0.45,2.98,9.67,15.15,19.08,19.76,18.99,15.23,11.46,5.77,-0.17
1929,-3.97,-2.56,6.14,11.44,14.16,18.86,19.80,19.38,17.35,10.38,5.09,-2.77
