Variable:,tas
Country:,Afghanistan
Subnational-unit:,Samangan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-3.31,-1.13,5.74,9.73,14.34,18.24,22.58,21.36,16.96,7.94,6.05,0.83
1902,-0.43,-1.12,3.32,7.98,15.89,21.53,22.17,21.73,16.53,10.14,4.07,0.24
1903,-5.11,-1.18,-2.07,7.19,13.21,19.91,21.78,21.48,17.34,11.33,2.97,-2.10
1904,-9.35,1.08,3.90,7.52,14.33,20.12,22.30,21.61,16.10,7.70,6.27,1.10
1905,-5.20,-5.35,-0.83,9.18,14.78,20.20,22.30,21.40,16.65,12.25,4.65,-1.32
1906,-4.75,-2.92,3.31,6.63,14.67,20.95,21.96,22.69,16.37,11.36,4.84,0.94
1907,-2.53,-2.93,2.73,10.04,12.55,17.88,22.31,21.17,16.01,7.62,2.59,-0.35
1908,-2.19,-2.32,1.99,8.87,13.62,19.81,23.55,21.37,16.37,8.01,5.40,-0.93
1909,-5.81,-1.55,4.34,11.53,14.63,20.10,22.07,22.12,16.40,9.53,7.65,1.27
1910,-1.55,-0.53,1.96,8.18,16.12,19.94,23.57,22.15,16.40,9.76,3.35,-5.26
1911,-4.26,-1.00,2.51,8.81,15.02,21.27,21.82,21.59,16.92,8.82,2.06,-3.10
1912,-3.16,0.77,2.99,10.43,14.01,20.46,23.00,20.76,14.78,11.53,3.39,-1.02
1913,-1.22,-3.00,1.15,7.06,15.94,19.93,23.60,20.90,16.71,10.66,4.00,1.23
1914,1.41,-0.98,4.53,10.00,14.68,22.49,23.39,21.78,18.23,10.33,4.37,-3.27
1915,-0.54,-1.49,8.04,9.64,17.26,21.21,22.19,22.74,18.39,10.45,6.09,0.92
1916,-1.03,-3.75,4.24,10.46,14.80,18.78,22.37,23.20,16.71,9.12,0.21,-0.92
1917,0.86,1.97,4.11,10.10,17.12,19.81,22.32,21.81,16.75,9.01,2.95,-2.00
1918,-3.20,-1.43,2.13,7.86,15.73,20.26,23.09,21.70,16.58,10.24,2.47,-3.16
1919,-6.01,-2.78,2.49,9.86,13.97,20.31,22.97,21.48,15.45,10.23,3.93,-0.62
1920,-1.97,-5.12,3.03,6.72,12.34,19.14,21.98,20.71,16.61,10.74,1.67,-4.96
1921,-2.95,-2.53,1.93,10.35,13.45,18.99,22.63,20.25,15.79,9.95,3.71,0.06
1922,-1.66,-1.04,4.46,9.97,14.00,19.73,22.46,21.37,16.70,10.49,4.87,0.49
1923,-2.92,-1.53,4.08,8.48,13.90,19.97,21.24,21.98,14.12,9.54,2.39,-2.86
1924,-2.68,-0.98,4.08,8.87,11.50,18.78,22.70,21.71,15.62,10.34,3.43,-1.86
1925,-5.18,-4.56,5.25,9.81,15.22,20.86,23.24,21.27,16.51,11.01,3.33,2.00
1926,-1.35,-0.20,4.17,6.80,14.80,19.20,22.21,23.00,17.49,10.07,0.13,0.18
1927,-5.90,-2.63,0.93,10.08,14.88,20.10,23.45,21.91,16.77,12.62,3.42,-0.05
1928,-5.16,-1.69,0.67,9.52,15.33,20.37,21.38,20.01,14.74,9.79,4.51,-1.65
1929,-8.09,-3.66,4.61,11.92,13.79,19.16,21.92,20.57,17.83,8.43,2.95,-5.89
1930,-9.07,-3.70,3.14,7.94,14.54,20.49,23.65,20.86,14.71,9.79,5.89,-3.02
1931,-2.84,-6.11,4.34,10.77,12.82,18.75,21.88,21.96,17.74,10.54,2.62,-2.06
1932,-2.32,-1.33,4.98,11.60,13.55,20.30,23.58,20.53,16.88,9.37,2.76,-4.68
1933,-6.85,-0.29,1.68,8.53,15.50,19.80,23.79,21.83,16.21,10.22,4.56,0.14
1934,-8.63,1.22,3.30,8.44,11.57,20.05,22.11,21.90,15.57,9.22,2.10,-0.36
1935,-7.14,-0.23,3.32,8.16,14.11,18.11,22.71,22.06,16.04,10.22,2.16,-1.68
1936,-4.51,0.36,1.66,8.38,16.50,21.06,22.83,21.31,17.75,12.03,3.91,-2.17
1937,-5.58,-0.64,1.26,7.29,14.95,20.79,22.99,22.32,17.24,9.68,2.08,-2.47
1938,-2.64,-1.21,2.26,10.72,17.64,19.38,22.03,21.79,16.28,10.36,2.28,-0.94
1939,-2.30,-1.65,1.07,6.49,14.92,21.34,23.23,21.64,17.18,10.54,4.86,1.87
1940,-1.33,0.44,2.19,9.88,14.68,21.24,23.35,21.29,16.72,11.86,5.07,0.38
1941,-3.40,1.66,6.33,10.74,16.72,21.86,22.50,22.50,16.91,13.35,4.84,-0.08
1942,-3.19,-2.53,5.03,10.01,15.44,19.95,23.26,21.40,16.42,11.24,6.48,-1.39
1943,-3.71,-1.38,2.40,8.25,13.75,19.57,23.16,22.00,16.81,9.81,3.83,0.95
