Variable:,tas
Country:,Afghanistan
Subnational-unit:,Sar-e-Pul
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.07,-1.51,4.79,8.89,13.32,17.26,21.81,19.93,15.52,5.56,4.68,0.32
1902,-1.16,-2.05,2.31,6.97,14.90,20.49,21.31,20.67,15.03,8.34,2.60,-0.40
1903,-5.88,-1.68,-3.35,6.13,12.21,19.07,21.07,20.36,15.91,9.64,1.40,-3.04
1904,-10.47,0.37,2.77,6.24,13.28,18.81,21.44,20.47,14.63,6.11,4.83,0.35
1905,-6.03,-5.94,-1.71,8.28,13.81,19.39,21.43,20.19,15.06,10.54,3.18,-2.15
1906,-5.08,-3.52,2.26,5.26,13.77,19.87,21.17,21.47,14.82,9.73,3.48,0.15
1907,-3.54,-3.87,1.89,9.01,11.38,16.98,21.58,19.87,14.41,5.69,0.76,-0.93
1908,-3.20,-3.05,0.65,7.62,12.36,18.78,22.36,20.09,14.95,6.17,3.92,-1.73
1909,-6.44,-1.93,3.43,10.29,13.48,18.89,21.12,20.76,14.84,7.74,6.35,0.44
1910,-2.25,-1.14,0.52,7.07,14.81,18.50,22.36,20.53,14.63,8.07,1.86,-6.35
1911,-5.67,-1.58,1.41,7.57,13.85,20.10,20.95,20.27,15.28,6.78,0.73,-3.88
1912,-4.08,0.19,2.10,8.86,12.91,19.20,21.98,19.41,13.08,9.89,1.98,-1.95
1913,-2.04,-4.26,0.01,5.70,15.24,18.73,22.79,19.59,15.33,9.09,2.91,0.63
1914,0.86,-2.07,3.37,8.89,13.59,21.48,22.41,20.56,16.62,9.09,2.89,-4.04
1915,-0.97,-2.22,7.06,8.36,16.16,20.21,21.17,21.68,16.88,8.62,4.65,0.15
1916,-1.48,-4.21,2.93,9.09,13.67,17.01,21.47,22.26,15.23,7.31,-1.50,-1.48
1917,0.33,1.09,2.97,9.28,16.43,18.71,21.42,20.64,15.17,7.24,1.64,-2.84
1918,-3.62,-2.22,0.82,6.39,14.57,18.86,22.21,20.30,15.16,8.49,1.22,-3.66
1919,-6.58,-3.36,1.20,8.81,12.51,19.09,22.03,20.27,14.12,8.50,2.53,-1.38
1920,-2.52,-6.21,2.18,5.51,11.47,18.07,20.94,19.49,15.20,9.08,-0.03,-6.35
1921,-3.57,-3.19,0.33,9.10,11.97,18.03,21.77,18.97,14.28,8.43,2.20,-0.77
1922,-2.24,-2.12,3.26,8.84,13.00,18.67,21.48,20.06,15.19,9.04,3.61,-0.24
1923,-3.64,-2.27,2.96,7.06,12.88,18.71,20.36,20.86,12.37,8.19,0.88,-3.87
1924,-3.07,-1.80,2.96,7.52,10.59,17.53,21.46,20.52,14.22,8.58,2.08,-2.98
1925,-6.07,-5.59,4.32,8.42,14.39,19.90,22.37,20.28,15.15,9.37,2.01,1.75
1926,-2.00,-1.16,3.22,5.76,14.07,18.15,21.14,21.92,16.03,8.47,-1.46,-0.33
1927,-6.32,-3.52,-0.03,9.01,14.07,19.29,22.61,20.80,15.54,11.04,1.95,-0.90
1928,-6.29,-2.61,-0.92,8.51,14.10,19.21,20.27,18.79,13.36,8.03,2.98,-2.32
1929,-8.37,-4.37,3.45,10.69,12.97,18.08,20.90,19.04,16.43,6.89,1.34,-6.76
1930,-10.13,-4.75,1.87,6.84,13.37,19.38,22.69,19.62,13.28,8.06,4.27,-3.56
1931,-4.16,-7.98,3.08,9.38,11.49,17.41,21.07,20.79,16.33,8.41,0.78,-3.16
1932,-3.78,-1.64,3.53,10.20,12.38,18.94,22.61,19.12,15.13,7.39,0.78,-6.04
1933,-7.93,-0.98,0.01,7.18,14.40,18.47,22.79,20.73,14.39,8.18,3.02,-0.68
1934,-10.13,-0.05,2.00,6.97,10.37,18.91,20.94,20.82,13.78,7.44,0.18,-1.37
1935,-8.03,-0.73,2.25,7.78,12.77,16.74,21.78,21.37,14.63,8.79,0.24,-2.40
1936,-5.21,-0.45,0.24,7.32,14.93,19.98,21.65,19.91,16.22,10.79,2.52,-3.53
1937,-6.89,-1.45,-0.29,5.75,13.68,19.19,22.22,21.11,15.77,8.05,0.33,-3.31
1938,-2.33,-0.63,1.01,9.98,16.04,18.04,20.66,20.29,14.94,8.23,0.74,-1.96
1939,-2.70,-1.92,0.71,5.08,13.37,20.77,22.03,20.30,15.57,8.70,3.50,1.18
1940,-1.69,0.14,0.68,9.17,13.39,20.20,22.30,20.27,15.51,10.50,3.59,0.41
1941,-3.58,1.80,5.38,9.25,15.60,20.72,21.16,21.24,15.73,11.51,3.05,-1.05
