Variable:,tas
Country:,Afghanistan
Subnational-unit:,Takhar
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-2.96,-0.73,6.41,10.50,14.69,18.15,22.26,21.47,17.60,9.37,7.20,1.36
1902,-0.34,-0.21,4.27,9.10,16.39,21.25,21.97,21.58,17.34,11.50,5.33,0.77
1903,-4.23,-0.83,-0.45,8.18,13.71,19.71,21.65,21.64,18.20,12.42,4.58,-1.12
1904,-7.84,0.94,4.79,9.26,15.03,20.50,22.19,21.66,16.64,9.26,7.20,1.59
1905,-4.48,-5.24,-0.00,9.35,15.31,19.99,22.46,21.43,17.76,13.41,6.20,-0.44
1906,-4.86,-2.46,3.86,7.89,15.32,20.73,22.14,22.83,17.13,12.40,6.21,2.13
1907,-1.71,-2.65,2.64,10.69,13.14,17.81,22.17,21.71,16.86,9.42,4.61,0.27
1908,-1.78,-1.51,2.94,10.31,14.37,19.50,23.49,21.72,17.25,9.32,6.80,0.17
1909,-5.43,-1.42,5.04,12.30,15.22,20.22,21.94,22.24,16.99,10.79,8.69,1.77
1910,-1.30,0.06,2.81,9.17,16.59,19.98,23.38,22.32,17.43,11.03,4.67,-4.50
1911,-3.35,-0.55,3.17,9.74,15.53,21.29,21.81,21.73,17.72,10.13,3.28,-2.27
1912,-2.57,1.17,3.68,11.28,14.55,20.33,23.18,20.97,15.74,12.59,4.70,-0.18
1913,-1.04,-1.99,2.02,8.45,16.25,20.07,23.33,21.07,17.06,11.74,4.98,1.56
1914,1.23,-0.49,4.69,10.73,15.21,22.25,23.32,21.86,18.94,11.00,5.82,-2.08
1915,-1.37,-1.59,8.23,10.66,17.90,21.09,22.06,22.77,19.20,12.16,7.12,1.04
1916,-0.88,-2.93,5.51,11.64,15.29,19.11,22.36,23.07,17.48,11.15,1.53,-0.63
1917,1.04,2.57,4.87,10.62,17.24,19.59,22.11,21.79,17.45,10.41,4.28,-1.15
1918,-3.19,-1.00,3.06,8.72,16.56,20.59,22.75,22.04,17.20,11.44,3.35,-3.14
1919,-6.17,-2.61,2.96,10.70,14.72,20.34,22.68,21.63,15.90,11.45,5.23,0.12
1920,-1.58,-4.35,3.35,7.71,12.72,19.02,21.85,20.69,16.99,11.88,3.44,-3.90
1921,-2.75,-2.25,3.01,11.29,14.15,18.71,22.39,20.44,16.68,11.07,5.03,0.80
1922,-1.59,-0.22,5.35,10.85,14.58,19.65,22.26,21.61,17.36,11.41,5.98,1.12
1923,-2.67,-1.18,4.76,9.83,14.46,20.18,21.02,21.92,15.21,10.62,3.86,-2.04
1924,-2.67,-0.49,4.73,10.03,11.91,19.08,22.76,21.90,16.50,11.66,4.77,-0.99
1925,-4.54,-4.08,6.00,10.73,15.64,20.66,22.96,21.30,17.32,12.31,4.52,2.08
1926,-1.09,0.35,5.07,7.86,15.12,19.21,22.11,23.03,18.15,11.24,1.52,0.71
1927,-5.40,-2.11,2.09,11.01,15.15,20.08,23.30,22.00,17.48,13.75,4.93,0.51
1928,-4.82,-1.17,1.68,10.04,15.97,20.57,21.63,20.64,15.84,11.56,5.91,-1.06
1929,-6.81,-3.45,5.65,12.66,14.40,19.55,22.08,21.38,18.50,9.90,4.65,-5.35
1930,-8.14,-3.37,4.32,8.91,15.35,20.57,23.62,21.28,15.74,11.13,7.13,-2.11
1931,-2.40,-5.08,4.83,11.64,13.40,18.86,21.52,22.14,18.43,11.87,4.00,-1.43
1932,-1.81,-1.59,5.85,12.40,13.89,20.31,23.60,20.62,17.70,10.54,4.13,-3.72
1933,-6.91,-0.08,2.49,9.64,16.08,19.96,23.78,21.95,17.10,11.40,5.75,0.84
1934,-8.20,1.55,4.04,9.30,11.88,19.88,21.98,21.98,16.39,10.51,3.47,0.59
1935,-7.02,0.14,3.87,8.90,14.59,18.04,22.47,22.09,16.74,11.28,3.76,-0.97
1936,-4.39,0.89,2.23,9.30,16.87,20.98,22.51,21.16,18.34,13.11,5.14,-1.39
1937,-5.32,0.01,2.04,8.06,15.24,20.63,22.58,22.16,17.78,10.83,3.12,-1.90
1938,-2.36,-0.71,2.80,11.53,18.03,19.31,21.63,21.71,16.78,11.46,3.55,-0.14
1939,-1.96,-1.16,1.75,7.32,15.45,21.31,22.93,21.60,17.73,11.64,6.09,2.72
1940,-0.78,1.12,2.97,10.83,15.07,21.22,22.97,21.25,17.34,13.07,6.29,0.93
1941,-3.20,2.15,6.92,11.43,17.15,21.90,22.25,22.64,17.61,14.57,6.11,0.45
1942,-3.07,-1.89,5.63,10.81,15.78,19.81,23.10,21.51,17.04,12.36,7.73,-0.61
1943,-3.28,-0.72,3.09,9.02,14.09,19.51,23.03,22.12,17.53,10.88,5.01,1.59
1944,-2.00,0.40,7.40,10.70,16.89,20.13,24.53,22.29,16.70,11.21,5.44,-3.77
1945,-4.76,-3.26,2.72,9.74,14.10,19.97,22.25,22.42,18.21,12.26,5.39,-0.64
1946,-2.45,2.23,5.21,13.04,17.86,20.00,22.31,21.73,17.82,13.47,3.06,-3.56
1947,-2.28,-0.02,7.70,11.71,15.57,19.72,22.29,23.05,18.08,11.44,7.64,-0.17
1948,-0.57,0.30,3.16,9.84,15.95,19.41,23.27,21.90,17.34,11.42,4.62,-2.84
1949,-5.05,-1.20,3.53,10.50,15.33,17.86,22.83,21.02,17.30,9.41,3.09,-0.54
