Variable:,tas
Country:,Afghanistan
Subnational-unit:,Wardak
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.42,-4.76,1.73,4.96,8.91,13.20,16.76,16.28,12.59,5.21,2.25,-2.83
1902,-4.19,-4.26,0.13,4.08,10.49,15.28,16.51,16.31,12.16,6.51,0.74,-3.54
1903,-7.80,-4.51,-4.53,2.74,7.89,14.49,16.16,16.07,13.07,7.49,-0.27,-5.20
1904,-11.19,-3.14,0.01,3.72,8.91,14.57,16.76,16.42,11.77,4.67,2.15,-2.63
1905,-8.11,-8.63,-3.89,4.26,9.80,14.77,16.69,16.09,12.12,7.94,1.17,-4.62
1906,-7.91,-6.36,-0.82,2.59,9.63,14.84,16.64,17.38,11.88,7.65,1.45,-2.55
1907,-5.57,-6.25,-1.23,4.98,7.36,12.54,16.67,15.95,12.07,4.85,-0.20,-4.06
1908,-5.50,-5.34,-1.17,4.62,8.44,14.51,17.49,15.80,11.75,4.69,1.46,-4.36
1909,-8.60,-5.53,0.51,6.33,9.15,14.49,16.24,16.78,11.65,5.94,3.45,-2.84
1910,-5.45,-4.25,-1.50,3.65,10.52,14.35,17.47,16.76,12.26,6.17,-0.15,-7.96
1911,-7.02,-4.61,-1.43,4.26,9.72,15.50,16.44,16.34,12.75,5.63,-1.46,-5.87
1912,-6.21,-2.89,-0.72,5.18,8.67,14.53,17.32,15.67,10.51,7.34,-0.18,-4.46
1913,-4.88,-6.13,-2.57,3.28,10.07,14.09,17.28,15.79,11.87,6.63,0.28,-2.83
1914,-2.56,-4.93,0.25,5.08,9.24,16.42,17.37,16.29,13.50,6.13,0.78,-6.29
1915,-5.09,-5.69,3.54,5.10,12.04,15.31,16.33,17.30,13.78,7.01,1.98,-3.43
1916,-4.31,-6.17,0.91,5.76,8.90,13.56,16.39,17.37,12.26,5.97,-2.85,-4.48
1917,-3.48,-2.11,0.27,4.67,10.23,14.10,16.42,16.13,11.97,5.25,-0.76,-5.19
1918,-6.55,-4.85,-1.29,3.20,10.30,14.36,17.16,16.32,11.95,6.40,-0.53,-5.87
1919,-8.32,-6.18,-0.78,5.00,8.57,14.89,16.98,15.93,11.08,6.19,0.12,-4.46
1920,-5.79,-7.68,-0.51,2.91,7.04,13.49,16.35,15.63,12.28,7.00,-0.95,-6.81
1921,-6.19,-5.80,-0.74,5.95,8.70,13.78,16.76,15.18,11.55,6.09,0.28,-3.33
1922,-5.51,-4.55,0.63,5.33,8.69,14.07,16.68,16.17,12.07,6.33,0.92,-3.35
1923,-6.31,-5.18,0.26,4.46,8.48,14.49,15.56,16.19,10.40,5.76,-0.78,-5.64
1924,-6.26,-4.68,0.28,4.55,6.47,13.60,16.86,16.23,11.21,6.50,0.06,-4.89
1925,-8.07,-7.63,1.27,5.50,9.50,14.67,16.98,15.80,12.10,6.95,-0.16,-2.54
1926,-5.24,-3.89,-0.02,2.48,8.80,13.81,16.68,17.16,12.74,6.21,-2.94,-3.65
1927,-8.50,-6.24,-2.10,5.07,9.05,14.13,17.45,16.52,12.36,8.36,0.11,-3.47
1928,-7.75,-4.92,-2.01,5.01,9.94,14.61,16.06,15.27,10.89,6.57,0.73,-4.95
1929,-9.81,-7.02,1.29,6.91,8.87,13.88,16.21,15.41,13.30,5.29,-0.30,-8.10
1930,-11.26,-7.19,-0.14,3.50,9.15,14.62,17.47,15.89,10.77,6.24,1.83,-5.65
1931,-5.49,-8.42,0.53,6.50,7.98,13.53,15.98,17.10,13.30,7.23,-0.31,-4.97
1932,-5.43,-4.70,1.08,6.82,8.15,14.76,17.82,15.49,12.92,6.10,-0.05,-6.28
1933,-9.55,-3.86,-1.33,3.62,9.69,14.72,17.97,16.09,11.83,6.65,1.09,-2.93
1934,-10.84,-2.00,-0.40,4.58,6.65,14.55,16.64,16.75,11.90,5.78,-0.57,-3.42
1935,-9.50,-4.04,-0.13,2.86,8.79,13.10,16.92,16.47,12.21,6.19,-0.72,-4.60
1936,-7.66,-3.10,-1.99,4.00,11.61,15.07,16.92,16.23,13.24,7.76,0.05,-5.30
1937,-8.61,-4.30,-1.90,2.92,9.65,15.10,16.88,16.84,12.68,5.72,-0.87,-5.63
1938,-6.52,-5.42,-1.20,5.81,12.28,13.95,16.71,16.68,12.06,6.56,-1.12,-4.09
1939,-5.77,-5.33,-3.09,2.12,9.39,15.42,17.26,16.67,13.06,7.04,1.24,-1.88
1940,-4.81,-3.22,-1.51,4.73,9.44,15.49,17.65,16.07,12.07,7.97,1.65,-3.41
1941,-6.78,-2.23,2.46,6.51,11.19,15.74,16.69,17.26,12.27,9.66,1.46,-3.35
