Variable:,tas
Country:,Afghanistan
Subnational-unit:,Zabul
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.67,2.55,9.62,14.06,19.11,23.90,26.30,24.78,20.14,13.36,8.34,3.91
1902,2.35,3.27,9.01,13.94,20.05,24.38,26.22,25.04,19.83,13.53,7.55,3.21
1903,-0.31,3.08,5.08,12.19,18.29,24.54,25.95,24.66,20.55,14.23,6.45,2.08
1904,-2.43,4.19,8.23,13.50,19.01,24.04,26.09,24.90,19.78,12.40,8.22,3.98
1905,-0.66,0.19,5.47,13.51,19.82,24.45,26.15,24.83,19.68,14.27,7.80,2.70
1906,-0.10,1.40,7.46,12.44,19.73,24.33,26.17,25.51,19.65,14.37,8.09,4.15
1907,1.93,1.83,7.55,13.82,17.71,22.92,26.31,24.19,19.76,12.46,6.85,2.85
1908,1.60,2.98,7.63,13.82,18.43,24.36,26.04,24.03,19.06,12.27,7.43,2.47
1909,-0.47,2.25,8.61,14.42,18.82,24.17,25.40,24.80,18.96,13.08,9.04,3.28
1910,0.99,3.34,7.34,12.83,19.77,23.97,25.82,24.63,19.59,13.16,6.57,0.85
1911,0.27,3.32,6.93,13.41,19.56,24.74,26.02,24.84,20.24,13.22,5.60,2.21
1912,1.14,4.37,7.84,14.17,19.02,24.42,26.51,24.27,18.56,13.88,6.56,2.72
1913,2.03,1.87,6.21,13.22,19.48,23.78,26.04,24.21,19.36,13.55,6.97,3.57
1914,3.51,2.33,8.24,14.11,19.27,25.32,26.12,24.61,20.54,13.24,7.49,1.43
1915,1.59,2.13,10.51,14.04,21.12,24.82,26.03,25.62,20.93,13.85,8.11,3.36
1916,2.40,1.73,9.26,14.55,18.52,23.58,25.74,25.27,19.74,12.65,4.60,2.65
1917,2.51,4.59,8.38,13.41,19.29,23.85,25.62,24.17,19.11,12.31,6.07,2.38
1918,0.64,3.19,7.51,12.35,19.79,23.61,26.33,24.65,19.33,13.28,6.79,2.18
1919,0.27,2.02,8.09,13.81,18.54,24.51,26.25,24.37,18.97,13.03,6.72,2.57
1920,1.16,1.16,8.37,12.91,17.43,23.19,25.69,24.09,20.06,13.95,6.60,1.54
1921,1.21,2.52,8.69,15.10,19.01,23.90,26.10,23.80,19.31,12.99,7.06,3.74
1922,1.42,3.07,8.83,14.42,18.68,23.73,26.13,24.61,19.61,13.14,7.33,3.44
1923,0.93,2.58,8.79,13.76,18.34,24.06,25.28,24.32,18.53,12.85,6.09,2.03
1924,0.82,2.98,9.06,13.78,17.14,23.57,26.11,24.56,18.81,13.26,6.70,2.61
1925,-0.41,0.96,9.39,15.03,19.19,24.01,25.96,24.43,19.77,13.84,6.59,3.87
1926,1.57,4.06,8.08,12.26,18.43,23.90,26.25,25.06,19.90,13.10,4.72,3.25
1927,-0.63,1.62,6.93,13.85,18.89,23.77,26.43,24.73,19.82,14.52,7.00,3.49
1928,0.20,3.22,7.51,14.42,19.71,24.06,25.62,24.04,18.87,13.44,7.32,2.53
1929,-1.17,1.50,9.63,15.38,19.02,23.70,25.43,23.78,20.40,12.65,6.71,0.63
1930,-2.70,1.53,8.20,12.91,18.94,24.04,26.13,24.36,18.95,13.26,7.73,2.14
1931,1.65,-0.48,8.65,15.48,18.20,23.10,25.12,25.51,20.07,13.48,6.60,2.75
1932,2.20,3.39,9.17,15.76,18.10,24.17,26.40,23.85,20.31,12.83,6.99,1.15
1933,-1.42,3.64,7.50,12.60,19.15,24.42,26.80,23.95,19.07,13.14,7.73,4.56
1934,-2.64,5.76,7.89,13.90,17.04,24.35,26.00,25.23,19.71,12.48,6.39,3.87
1935,-1.39,3.70,8.72,11.74,18.17,22.72,25.85,24.60,19.55,12.63,6.21,2.60
1936,-0.58,4.28,6.57,13.25,21.52,24.35,25.88,24.69,20.50,14.51,6.26,1.96
1937,-0.82,3.38,6.49,12.26,19.45,24.62,26.12,25.19,19.91,12.25,6.38,1.39
1938,0.63,2.71,8.08,14.94,21.72,23.48,26.02,25.11,19.81,13.23,5.43,2.96
1939,1.85,2.74,5.68,11.36,18.70,24.89,26.06,24.94,20.90,13.90,7.86,5.10
1940,2.40,4.45,6.87,13.39,19.55,24.67,26.88,24.07,19.65,14.79,8.40,3.66
1941,0.88,5.56,11.10,15.94,20.84,24.73,26.07,25.70,19.39,16.26,8.07,4.15
1942,0.58,2.35,10.11,15.37,19.68,23.85,25.87,24.17,19.38,14.15,9.56,2.08
1943,-0.11,3.52,8.34,12.98,18.16,23.50,25.95,24.88,20.15,13.02,7.45,5.34
