Variable:,tas
Country:,Afghanistan
Subnational-unit:,Daykundi
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-4.23,-1.98,4.51,8.31,12.84,17.15,20.93,19.56,14.95,6.66,3.86,-0.38
1902,-1.89,-1.97,2.73,7.17,14.29,19.29,20.61,19.85,14.46,8.19,2.30,-1.17
1903,-5.81,-1.83,-2.35,5.97,11.76,18.49,20.37,19.57,15.37,9.26,1.09,-3.19
1904,-9.58,-0.32,2.77,6.48,12.62,18.10,20.78,19.83,14.16,6.19,4.02,-0.26
1905,-5.97,-5.73,-1.07,7.91,13.48,18.77,20.68,19.53,14.34,9.74,2.63,-2.51
1906,-5.20,-3.68,2.17,5.43,13.19,18.86,20.42,20.77,14.24,9.51,2.85,-0.38
1907,-3.37,-3.71,1.92,8.35,11.10,16.43,20.70,19.19,14.41,6.31,0.92,-1.58
1908,-3.35,-2.68,1.38,7.56,11.91,18.27,21.31,19.18,14.09,6.40,2.99,-2.22
1909,-6.23,-2.64,3.22,9.42,12.72,18.17,20.20,19.99,13.89,7.56,5.09,-0.62
1910,-3.24,-1.70,0.89,6.70,13.96,17.80,21.12,19.71,14.21,7.91,1.32,-5.72
1911,-5.54,-1.96,1.31,7.35,13.29,19.29,20.38,19.71,14.88,7.28,0.32,-3.53
1912,-4.13,-0.05,2.22,8.22,12.42,18.38,21.26,18.88,12.71,9.33,1.56,-2.30
1913,-2.64,-4.13,0.21,6.04,14.07,17.88,21.47,19.10,14.52,8.63,2.28,-0.07
1914,0.06,-2.39,3.34,8.42,12.85,20.45,21.24,19.62,15.74,8.82,2.36,-4.22
1915,-2.11,-2.69,6.45,8.00,15.51,19.12,20.30,20.84,16.02,8.37,3.88,-0.56
1916,-2.03,-4.12,3.02,8.63,12.77,16.93,20.41,21.18,14.66,7.15,-1.47,-1.99
1917,-1.10,0.20,2.92,8.34,14.47,18.02,20.44,19.61,14.32,6.96,1.02,-2.97
1918,-4.19,-2.31,1.26,6.11,13.79,17.89,21.17,19.50,14.35,8.11,1.47,-2.89
1919,-5.30,-3.17,1.88,8.13,12.03,18.54,21.06,19.41,13.87,7.97,1.63,-2.31
1920,-3.37,-5.43,2.45,6.20,11.24,17.28,20.31,18.85,14.73,8.74,0.24,-4.77
1921,-3.85,-3.10,1.53,9.05,11.99,17.72,20.99,18.44,13.85,7.90,1.79,-1.15
1922,-3.03,-2.36,3.16,8.46,12.37,17.95,20.72,19.43,14.47,8.32,2.61,-1.14
1923,-4.11,-2.57,2.99,7.11,12.15,18.17,19.73,19.69,12.52,7.67,0.59,-3.51
1924,-3.73,-2.30,3.04,7.37,10.59,17.17,20.70,19.58,13.52,8.18,1.63,-2.98
1925,-5.99,-5.03,4.10,8.67,13.45,18.77,21.14,19.40,14.49,8.73,1.45,0.17
1926,-2.98,-1.43,2.75,5.79,12.87,17.65,20.68,20.59,15.07,8.12,-1.24,-1.24
1927,-6.22,-3.66,0.52,8.30,13.10,18.10,21.67,20.08,14.83,10.20,1.60,-1.25
1928,-5.67,-2.39,0.39,8.46,13.64,18.49,19.89,18.40,13.15,8.02,2.31,-2.56
1929,-8.03,-4.35,3.59,10.16,12.50,17.33,20.04,18.38,15.72,6.97,0.98,-5.63
1930,-10.01,-4.73,2.06,6.58,12.56,18.49,21.50,18.83,12.74,7.75,3.54,-3.64
1931,-4.15,-7.23,2.88,9.21,11.55,17.07,20.24,20.37,15.12,7.97,0.84,-2.70
1932,-3.67,-1.66,3.37,9.64,11.83,18.19,21.37,18.70,14.63,7.31,0.93,-5.40
1933,-7.25,-1.58,0.95,6.61,13.21,18.24,21.75,19.43,13.77,7.77,2.55,-0.68
1934,-8.98,0.05,2.21,7.41,10.45,18.50,20.45,20.11,13.74,7.07,0.40,-1.42
1935,-7.16,-1.22,2.79,6.57,12.05,16.55,20.66,20.00,14.15,7.83,0.35,-2.61
1936,-5.60,-1.00,0.62,7.14,14.79,18.90,20.92,19.37,15.31,9.71,1.40,-3.61
1937,-6.61,-1.83,0.31,5.94,13.17,18.73,21.07,20.36,14.77,7.16,0.69,-3.50
1938,-3.78,-1.95,1.68,9.09,15.41,17.59,20.47,19.89,14.39,7.80,0.33,-2.04
1939,-3.21,-2.49,0.34,5.17,12.35,19.65,21.09,19.86,15.30,8.54,2.78,0.27
1940,-2.35,-0.48,0.97,7.92,13.20,19.16,21.71,19.21,14.64,9.75,3.02,-0.76
1941,-3.93,0.87,5.28,9.56,14.86,19.58,20.74,20.58,14.62,11.01,2.71,-1.11
1942,-3.80,-3.37,4.07,8.63,13.75,18.25,21.05,19.16,14.04,9.23,4.40,-2.80
1943,-5.29,-2.43,1.35,6.85,12.00,17.66,20.99,20.05,14.47,7.63,1.98,0.17
1944,-2.72,-1.29,5.27,8.03,14.18,18.58,22.41,19.72,13.76,8.14,2.44,-6.09
