Variable:,tas
Country:,Afghanistan
Subnational-unit:,Panjsher
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-9.00,-7.28,-1.37,1.34,4.90,8.85,12.69,12.68,9.60,2.80,0.26,-5.17
1902,-6.66,-6.51,-3.15,0.40,6.56,11.29,12.62,12.73,9.39,4.34,-1.29,-5.77
1903,-10.02,-7.36,-7.49,-0.70,4.02,10.25,12.23,12.65,10.19,5.16,-1.89,-7.29
1904,-13.06,-5.78,-2.95,0.71,5.41,10.96,12.93,12.83,8.77,2.46,0.23,-4.97
1905,-10.30,-11.33,-7.32,0.34,5.70,10.54,13.26,12.56,9.77,5.94,-0.48,-6.62
1906,-10.60,-8.80,-3.87,-0.87,5.83,10.97,12.76,13.81,9.07,5.20,-0.28,-4.39
1907,-7.63,-9.09,-5.14,1.49,3.43,8.22,12.72,12.71,9.13,2.63,-1.74,-6.16
1908,-7.80,-7.80,-4.48,1.43,4.63,9.88,13.77,12.51,9.10,2.33,0.01,-6.19
1909,-11.19,-8.15,-2.64,2.88,5.33,10.47,12.33,13.23,8.76,3.74,1.65,-5.07
1910,-7.66,-6.66,-4.75,0.13,6.68,10.29,13.67,13.23,9.47,3.94,-1.98,-10.42
1911,-9.29,-7.12,-4.57,0.72,5.82,11.41,12.46,12.76,9.89,3.23,-3.39,-8.31
1912,-8.49,-5.36,-3.89,2.19,4.99,10.69,13.73,12.13,7.89,5.16,-2.05,-6.57
1913,-7.12,-8.19,-5.57,-0.02,6.22,10.27,13.57,12.12,8.99,4.46,-1.77,-5.24
1914,-5.22,-7.18,-3.20,1.62,5.52,12.29,13.59,12.83,10.69,3.56,-0.89,-8.19
1915,-7.76,-8.25,0.35,1.63,8.13,11.27,12.43,13.71,11.07,5.04,0.25,-5.58
1916,-7.05,-9.02,-1.86,2.73,5.43,9.55,12.77,13.84,9.47,4.19,-4.54,-6.77
1917,-5.55,-4.26,-2.86,1.26,6.46,9.88,12.59,12.67,9.29,3.11,-2.59,-7.35
1918,-9.09,-7.40,-4.47,-0.32,6.72,10.72,13.26,13.08,9.17,4.24,-2.91,-8.93
1919,-11.48,-9.00,-4.33,1.56,4.85,10.82,13.12,12.51,8.03,4.14,-1.59,-6.54
1920,-7.96,-10.41,-4.04,-0.88,2.93,9.33,12.46,12.07,9.21,4.74,-2.80,-9.40
1921,-8.62,-8.54,-3.91,2.51,4.86,9.46,12.83,11.62,8.67,3.84,-1.49,-5.49
1922,-7.78,-6.69,-2.30,1.92,4.83,9.97,12.82,12.72,9.27,4.07,-0.85,-5.45
1923,-8.60,-7.68,-2.87,1.09,4.62,10.58,11.56,12.81,7.45,3.44,-2.55,-8.03
1924,-8.76,-7.06,-2.80,1.22,2.32,9.66,13.21,12.82,8.41,4.42,-1.79,-7.12
1925,-10.50,-10.29,-1.70,2.00,5.73,10.56,13.13,12.21,9.27,4.84,-2.17,-4.72
1926,-7.38,-6.21,-3.03,-1.04,4.91,9.58,12.76,13.71,9.97,3.94,-4.91,-5.89
1927,-11.03,-8.60,-5.22,1.82,5.16,10.28,13.63,13.01,9.47,6.33,-1.58,-5.79
1928,-10.30,-7.40,-5.25,1.33,6.33,10.74,12.27,12.06,8.05,4.54,-0.79,-7.31
1929,-12.07,-9.70,-1.77,3.44,4.97,10.04,12.64,12.48,10.47,2.95,-1.88,-10.84
1930,-13.33,-9.61,-3.17,0.09,5.61,10.69,13.72,12.63,8.12,4.11,0.01,-7.85
1931,-7.80,-10.97,-2.67,2.82,3.90,9.24,11.75,13.52,10.39,5.01,-2.10,-7.42
1932,-7.89,-7.61,-2.03,3.32,4.10,10.52,14.01,11.97,9.84,3.73,-2.01,-8.83
1933,-12.29,-6.30,-4.76,0.24,5.91,10.38,14.19,12.71,8.97,4.45,-0.83,-5.22
1934,-13.23,-4.52,-3.47,0.89,2.47,10.42,12.68,13.02,8.98,3.46,-2.68,-5.69
1935,-12.08,-6.49,-3.39,-0.51,4.91,8.70,12.94,12.92,9.07,3.94,-2.29,-6.94
1936,-10.00,-5.52,-5.17,0.43,7.61,11.22,13.12,12.72,10.48,5.61,-1.79,-7.46
1937,-10.86,-6.66,-4.84,-0.52,5.69,11.14,12.92,13.41,9.80,3.51,-2.88,-7.93
1938,-9.00,-8.22,-4.77,2.29,8.42,9.84,12.76,13.13,9.05,4.37,-2.92,-6.32
1939,-8.15,-7.86,-6.24,-1.41,5.55,11.42,13.44,13.04,10.10,4.74,-0.65,-4.22
1940,-7.08,-5.60,-4.54,1.26,5.54,11.37,13.71,12.37,9.17,5.65,-0.29,-5.66
1941,-9.12,-4.82,-0.84,2.87,7.31,11.98,12.71,13.66,9.47,7.44,-0.39,-5.59
1942,-9.23,-8.31,-1.60,2.46,5.92,10.16,13.24,12.56,9.24,5.12,1.21,-6.92
1943,-9.30,-6.80,-3.83,0.23,4.26,9.94,13.14,13.15,9.87,4.01,-1.30,-4.69
1944,-8.20,-6.99,-1.00,1.59,6.89,10.37,14.66,13.15,8.57,4.11,-1.02,-9.32
1945,-10.65,-8.99,-4.23,0.56,4.45,10.48,12.95,13.29,10.47,4.94,-0.92,-6.96
1946,-8.33,-4.43,-2.64,4.77,8.00,10.53,13.17,13.01,10.05,6.31,-3.03,-9.31
1947,-8.46,-6.77,-0.49,2.99,6.26,10.59,12.67,14.11,10.37,4.32,0.91,-6.40
1948,-7.14,-6.58,-4.26,1.50,6.55,9.49,13.60,12.83,9.75,4.42,-2.11,-8.23
1949,-10.23,-7.88,-3.72,2.10,6.40,8.24,13.27,12.04,10.05,2.76,-3.19,-6.64
1950,-9.87,-10.15,-3.87,-1.06,5.40,10.77,13.41,12.71,8.62,4.22,-3.32,-9.11
1951,-9.20,-9.07,-4.39,-0.08,5.10,8.51,12.22,12.59,10.27,6.89,-0.33,-4.11
1952,-7.76,-5.23,-3.79,2.59,5.11,10.56,12.57,12.71,9.30,4.26,-2.98,-6.36
1953,-8.20,-4.30,-2.33,1.64,5.82,10.57,13.49,12.47,9.57,3.23,-1.83,-5.42
1954,-9.37,-7.64,-3.79,1.92,6.10,9.94,12.27,12.81,9.95,3.44,-2.11,-7.53
1955,-8.36,-4.52,-1.45,-0.03,3.36,9.97,13.02,13.24,9.85,4.04,0.37,-4.81
1956,-8.73,-6.24,-3.54,2.26,8.32,9.81,13.31,12.10,9.90,3.84,-0.82,-7.19
1957,-10.66,-9.35,-3.54,-1.08,3.21,9.22,12.32,12.22,8.99,3.27,-2.74,-6.74
1958,-6.20,-6.35,-1.72,3.14,3.72,10.26,13.58,12.43,9.82,4.54,-2.62,-4.71
1959,-8.77,-9.21,-3.08,2.04,4.52,10.57,12.04,13.56,11.27,5.97,-2.23,-7.72
1960,-7.79,-3.41,-5.40,-0.91,4.13,10.77,12.95,13.37,9.61,4.44,-2.31,-7.31
1961,-7.20,-8.82,-2.97,1.30,6.82,10.27,13.29,12.61,10.87,3.54,-2.41,-6.61
1962,-8.60,-5.22,-1.47,1.52,4.80,9.84,13.07,12.71,8.27,3.54,-3.18,-7.09
1963,-6.62,-3.71,-2.75,1.75,4.12,11.27,12.77,12.26,9.27,5.74,-1.39,-6.49
1964,-12.77,-7.57,-1.67,0.43,4.13,9.65,11.97,12.51,9.47,2.45,-2.09,-9.12
1965,-7.20,-7.92,-4.01,-0.62,4.42,9.36,12.17,11.41,8.47,5.84,0.19,-7.59
1966,-5.12,-3.09,-3.29,-0.04,4.53,11.28,11.98,12.53,8.37,3.25,-3.22,-6.79
1967,-10.00,-6.69,-3.97,0.12,3.42,9.68,12.57,11.91,9.25,2.84,-1.39,-6.34
1968,-9.26,-8.50,-2.57,1.18,3.22,10.38,12.64,12.12,9.47,3.54,-1.09,-6.72
1969,-10.37,-9.83,-1.01,0.22,3.75,10.02,12.47,12.26,8.57,4.94,-2.10,-4.47
1970,-7.90,-4.87,-3.37,3.13,6.99,10.68,11.98,13.82,9.27,5.14,-0.59,-6.50
1971,-9.41,-6.10,-1.47,2.83,7.02,11.37,12.57,12.12,8.47,4.44,0.19,-4.09
1972,-9.51,-12.34,-4.58,0.82,4.05,9.68,11.22,11.02,8.65,4.04,-0.38,-7.60
1973,-11.46,-6.09,-4.27,1.93,5.33,12.07,13.15,12.71,9.24,4.24,-0.39,-6.64
1974,-9.47,-9.97,-1.82,3.13,5.36,9.81,12.87,11.66,8.67,3.24,-1.79,-8.39
1975,-10.09,-9.10,-4.29,0.82,4.63,10.27,12.47,12.83,9.50,4.24,-3.48,-7.08
1976,-7.22,-8.59,-5.57,0.91,5.72,9.77,13.49,12.36,9.47,4.54,-2.88,-7.00
1977,-12.31,-7.99,0.33,3.24,5.22,11.40,13.29,12.61,9.49,5.14,0.39,-5.65
1978,-9.90,-7.60,-4.97,2.62,6.83,11.28,12.77,12.61,10.07,5.44,-2.71,-4.58
1979,-7.60,-6.08,-3.87,3.32,2.51,10.27,13.57,12.17,9.67,6.04,-1.68,-4.89
1980,-9.29,-8.21,-4.47,3.62,6.13,10.87,13.27,12.42,9.27,4.94,0.51,-5.09
1981,-7.30,-6.30,-1.86,2.22,6.21,9.68,12.87,12.01,9.17,3.14,-0.89,-5.09
1982,-8.04,-9.20,-4.67,2.20,5.56,10.27,12.78,12.61,8.27,4.34,-3.01,-7.89
1983,-8.62,-6.20,-5.47,0.52,5.62,9.75,13.08,13.81,10.17,4.14,0.44,-6.17
1984,-8.26,-10.89,-1.21,1.82,6.59,12.07,13.47,13.77,8.37,3.59,-0.29,-8.68
1985,-8.70,-4.59,-2.27,2.92,5.62,11.39,13.77,12.71,9.97,4.13,-0.79,-5.89
1986,-8.36,-6.71,-4.99,1.42,5.72,10.27,13.17,12.31,10.00,5.63,-1.19,-7.29
1987,-6.21,-5.18,-1.38,1.13,4.41,9.39,12.43,13.61,10.57,3.14,-0.33,-4.20
1988,-6.80,-6.20,-3.05,3.42,6.69,10.90,13.87,12.41,10.07,4.24,1.11,-3.99
1989,-9.53,-9.14,-2.62,0.20,3.89,9.89,12.47,12.04,9.57,5.55,-0.97,-4.26
1990,-7.82,-6.73,-3.60,0.72,7.63,11.63,13.07,13.41,10.97,4.36,0.23,-6.72
1991,-9.52,-7.94,-3.50,0.75,3.51,10.02,13.27,12.81,9.59,4.11,-1.19,-4.79
1992,-8.00,-6.75,-4.38,-0.04,2.99,9.72,12.39,11.90,8.31,4.14,-0.15,-4.22
1993,-9.45,-5.02,-4.63,1.77,5.72,10.15,12.03,12.82,9.67,3.73,-1.09,-5.50
1994,-7.77,-8.39,-1.37,0.15,5.69,11.19,12.43,12.90,7.57,3.57,0.66,-6.34
1995,-8.60,-6.45,-3.95,0.01,5.31,10.87,12.93,12.56,9.11,4.48,-0.22,-7.03
1996,-8.99,-6.37,-3.02,1.79,4.16,9.62,12.87,11.95,10.12,3.84,-2.16,-5.74
1997,-8.44,-7.33,-3.51,0.39,2.98,9.67,13.44,12.24,9.92,3.72,-2.11,-6.82
1998,-8.58,-7.47,-4.19,2.74,5.11,9.97,12.97,12.95,9.57,5.54,-0.95,-5.60
1999,-8.12,-4.94,-2.78,2.86,6.40,10.66,13.24,13.31,10.89,6.11,-0.40,-4.81
2000,-7.73,-7.72,-2.95,4.72,8.84,10.51,12.92,12.92,9.68,5.15,-1.06,-4.94
2001,-8.70,-5.84,-1.89,2.96,8.52,11.15,12.47,12.62,9.33,5.20,-0.09,-4.76
2002,-7.22,-6.72,-1.23,2.35,6.30,10.40,13.12,13.27,8.89,6.02,-0.01,-7.16
2003,-7.42,-6.55,-3.29,1.74,3.49,10.46,13.01,12.55,9.75,5.21,-1.61,-5.93
2004,-6.78,-4.47,0.15,2.87,6.20,10.29,12.77,12.69,10.15,3.38,0.69,-5.37
2005,-8.50,-8.62,-1.26,1.73,3.52,10.77,12.81,12.71,10.68,5.18,-1.25,-5.51
2006,-9.41,-2.76,-1.56,0.29,8.75,10.11,13.23,12.69,9.41,6.77,-0.42,-7.44
2007,-7.62,-5.51,-3.27,5.28,6.39,10.83,12.57,12.85,10.08,3.64,-0.15,-6.91
2008,-11.56,-8.29,1.33,2.26,7.79,12.13,13.09,12.44,9.68,5.80,-1.31,-5.47
2009,-7.00,-5.13,-1.24,0.45,5.96,9.28,12.92,13.61,9.91,4.54,-1.71,-5.65
2010,-5.90,-7.07,0.44,4.23,5.43,9.37,11.97,12.37,8.97,6.54,-0.91,-6.61
2011,-8.42,-6.91,-1.85,2.65,8.22,11.91,13.01,12.99,9.53,5.44,-1.46,-8.27
2012,-9.59,-9.70,-3.21,2.09,5.53,10.37,13.77,13.13,9.37,4.59,-1.48,-6.79
2013,-8.10,-6.20,-1.95,1.53,6.13,11.21,13.68,13.11,11.00,5.48,-0.99,-5.85
2014,-7.00,-9.22,-2.77,1.53,5.63,11.23,13.55,13.30,10.86,4.98,-1.78,-6.41
2015,-7.12,-5.31,-3.77,2.09,5.58,11.13,13.20,12.11,8.89,5.64,-1.16,-5.79
2016,-5.79,-5.00,-2.57,2.33,6.30,11.91,13.56,13.01,11.13,5.04,-1.96,-5.73
2017,-8.60,-6.89,-2.88,2.34,7.58,11.14,13.61,12.95,10.15,6.08,-0.32,-5.89
2018,-6.70,-5.29,1.03,3.23,5.52,11.29,14.08,13.71,10.37,4.34,-1.22,-5.67
2019,-7.85,-7.20,-2.24,2.74,5.23,9.47,14.26,12.69,10.82,5.17,-2.86,-5.93
2020,-9.00,-5.16,-1.97,1.51,6.02,10.05,13.42,13.40,8.93,3.67,-2.92,-8.23
