Variable:,tas
Country:,Afghanistan
Subnational-unit:,Parwan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-6.19,-4.32,2.26,5.42,9.24,13.40,16.99,16.70,13.26,6.00,3.10,-2.48
1902,-3.84,-3.75,0.53,4.45,10.86,15.68,16.79,16.66,12.90,7.44,1.53,-3.18
1903,-7.46,-4.21,-4.03,3.22,8.22,14.63,16.43,16.58,13.83,8.35,0.66,-4.80
1904,-10.68,-2.72,0.59,4.29,9.34,15.03,17.13,16.87,12.46,5.55,3.03,-2.27
1905,-7.75,-8.34,-3.67,4.48,9.95,14.91,17.15,16.47,13.14,9.05,2.17,-4.17
1906,-7.88,-5.90,-0.29,2.94,9.93,15.25,16.92,17.79,12.58,8.42,2.31,-1.88
1907,-5.28,-6.02,-1.17,5.51,7.64,12.69,16.93,16.55,12.72,5.71,0.78,-3.61
1908,-5.18,-4.90,-0.81,5.27,8.84,14.48,17.94,16.39,12.57,5.45,2.55,-3.77
1909,-8.53,-5.10,1.03,6.85,9.55,14.84,16.56,17.25,12.37,6.86,4.38,-2.43
1910,-5.06,-3.78,-1.05,4.07,10.93,14.71,17.88,17.25,13.00,7.04,0.72,-7.81
1911,-6.66,-4.19,-0.94,4.71,10.05,15.84,16.68,16.70,13.46,6.37,-0.68,-5.61
1912,-5.88,-2.42,-0.26,5.85,9.08,14.94,17.76,16.12,11.27,8.33,0.73,-4.02
1913,-4.46,-5.55,-2.04,3.78,10.45,14.52,17.69,16.08,12.57,7.59,1.06,-2.46
1914,-2.33,-4.24,0.60,5.54,9.66,16.75,17.81,16.82,14.32,6.86,1.70,-5.75
1915,-4.95,-5.22,4.15,5.59,12.39,15.64,16.60,17.67,14.56,7.99,2.88,-3.04
1916,-4.15,-5.93,1.56,6.43,9.40,13.87,16.81,17.82,12.98,7.04,-1.98,-4.21
1917,-2.97,-1.45,0.76,5.21,10.81,14.33,16.76,16.61,12.78,6.12,0.05,-4.98
1918,-6.27,-4.42,-0.87,3.68,10.72,14.89,17.48,16.88,12.68,7.34,-0.00,-5.99
1919,-8.50,-5.93,-0.53,5.52,8.98,15.19,17.30,16.44,11.66,7.23,1.05,-4.00
1920,-5.41,-7.44,-0.12,3.22,7.28,13.80,16.66,16.05,12.93,7.90,-0.22,-6.68
1921,-5.92,-5.48,-0.40,6.46,8.98,13.97,17.06,15.58,12.21,6.98,1.13,-2.95
1922,-5.16,-3.97,1.21,5.86,9.05,14.34,16.98,16.62,12.78,7.22,1.83,-2.92
1923,-5.99,-4.74,0.75,4.95,8.84,14.88,15.78,16.75,11.00,6.60,0.00,-5.41
1924,-6.04,-4.18,0.75,5.09,6.65,13.96,17.25,16.67,11.91,7.47,0.89,-4.57
1925,-7.87,-7.34,1.80,5.93,9.93,15.04,17.34,16.15,12.80,7.94,0.63,-2.08
1926,-4.82,-3.36,0.55,2.82,9.21,14.02,16.95,17.67,13.48,7.10,-2.27,-3.29
1927,-8.37,-5.71,-1.64,5.68,9.40,14.56,17.84,16.95,13.02,9.41,1.02,-3.17
1928,-7.64,-4.50,-1.74,5.32,10.30,15.03,16.41,15.77,11.54,7.52,1.76,-4.70
1929,-9.69,-6.73,1.83,7.46,9.08,14.29,16.54,16.06,13.98,6.10,0.69,-8.02
1930,-10.69,-6.71,0.38,4.04,9.71,15.02,17.91,16.47,11.56,7.19,2.77,-5.33
1931,-5.20,-7.90,0.97,6.85,8.18,13.69,16.16,17.48,13.97,8.13,0.59,-4.77
1932,-5.24,-4.46,1.58,7.32,8.39,14.99,18.19,15.94,13.55,6.90,0.71,-5.93
1933,-9.40,-3.40,-0.96,4.17,10.07,14.94,18.32,16.60,12.55,7.60,1.88,-2.61
1934,-10.62,-1.57,0.15,5.04,6.82,14.83,16.95,17.09,12.55,6.67,0.22,-3.05
1935,-9.38,-3.59,0.30,3.44,9.15,13.27,17.21,16.88,12.77,7.06,0.28,-4.29
1936,-7.36,-2.62,-1.53,4.42,11.91,15.55,17.31,16.68,14.00,8.82,1.01,-4.99
1937,-8.35,-3.72,-1.33,3.31,9.91,15.46,17.26,17.35,13.37,6.70,-0.21,-5.31
1938,-6.10,-4.86,-0.98,6.32,12.64,14.18,16.84,17.04,12.59,7.52,-0.31,-3.79
1939,-5.42,-4.90,-2.55,2.48,9.77,15.76,17.60,16.97,13.55,7.86,2.05,-1.55
1940,-4.49,-2.72,-1.03,5.28,9.69,15.74,17.86,16.35,12.73,8.82,2.37,-3.01
1941,-6.43,-1.76,2.91,6.82,11.54,16.20,16.82,17.57,12.97,10.53,2.27,-3.01
1942,-6.55,-5.37,1.97,6.30,10.15,14.54,17.40,16.47,12.70,8.25,3.87,-4.39
1943,-6.69,-3.94,-0.30,4.18,8.53,14.32,17.30,16.99,13.24,7.06,1.42,-2.03
1944,-5.58,-4.05,2.78,5.55,11.07,14.74,18.80,16.99,12.08,7.17,1.59,-6.71
1945,-8.08,-6.24,-0.54,4.46,8.70,14.86,17.08,17.22,13.93,7.98,1.67,-4.33
1946,-5.77,-1.44,1.03,8.66,12.25,14.93,17.24,16.86,13.56,9.36,-0.52,-6.73
1947,-5.53,-3.68,3.24,6.88,10.39,14.88,17.06,18.05,13.94,7.44,3.82,-3.71
1948,-4.40,-3.51,-0.45,5.53,10.89,14.12,17.88,16.85,13.28,7.34,0.57,-5.61
1949,-7.77,-4.71,-0.05,6.12,10.71,12.64,17.48,16.02,13.58,5.82,-0.53,-3.94
1950,-7.29,-7.30,-0.25,2.96,9.66,15.16,17.56,16.67,12.17,7.36,-0.68,-6.68
1951,-6.58,-6.10,-0.85,3.86,9.35,12.84,16.51,16.55,13.78,10.14,2.33,-1.55
1952,-5.04,-2.30,-0.09,6.50,9.31,14.98,16.78,16.57,12.70,7.28,0.06,-3.88
1953,-5.43,-1.28,1.29,5.54,10.05,14.94,17.69,16.45,13.08,6.32,0.87,-2.78
1954,-6.63,-4.70,-0.15,5.86,10.35,14.34,16.54,16.85,13.48,6.54,0.57,-4.91
1955,-5.70,-1.60,2.19,3.97,7.57,14.18,17.36,17.15,13.39,7.14,3.07,-2.20
1956,-6.00,-3.24,0.07,6.12,12.37,14.04,17.36,16.03,13.36,6.90,1.81,-4.69
1957,-8.05,-6.44,0.11,2.86,7.47,13.62,16.42,16.11,12.37,6.46,0.01,-4.11
1958,-3.50,-3.44,2.01,7.22,8.01,14.68,17.72,16.45,13.34,7.64,-0.00,-2.13
1959,-6.01,-6.08,0.75,6.06,8.79,14.94,16.20,17.52,14.86,9.00,0.43,-5.17
1960,-5.09,-0.40,-1.86,2.98,8.23,15.18,17.18,17.35,13.18,7.54,0.37,-4.71
1961,-4.54,-5.90,0.79,5.25,10.92,14.62,17.48,16.60,14.38,6.64,0.22,-4.01
1962,-5.92,-2.30,2.15,5.52,9.05,14.20,17.28,16.72,11.78,6.62,-0.53,-4.51
1963,-3.93,-0.70,0.91,5.72,8.24,15.65,17.09,16.17,12.71,8.78,1.27,-3.93
1964,-10.19,-4.64,1.98,4.61,8.56,14.04,16.27,16.54,12.92,5.50,0.57,-6.38
1965,-4.48,-4.81,-0.08,3.24,8.48,13.85,16.46,15.40,11.98,8.98,2.88,-5.03
1966,-2.50,-0.23,0.51,4.05,8.89,15.66,16.37,16.66,12.00,6.50,-0.61,-4.21
1967,-7.35,-3.59,-0.21,4.00,7.63,14.15,16.87,15.92,12.74,6.08,1.37,-3.90
1968,-6.59,-5.66,1.11,5.16,7.36,14.76,16.89,16.24,13.09,6.70,1.57,-3.97
1969,-7.69,-6.82,2.74,4.27,7.95,14.46,16.85,16.34,12.19,8.26,0.62,-1.80
1970,-5.38,-2.17,0.16,7.13,11.35,15.08,16.40,17.73,12.86,8.24,1.96,-3.93
1971,-7.01,-3.37,2.06,6.93,11.14,15.49,16.84,16.07,11.98,7.50,2.85,-1.70
1972,-7.20,-9.36,-0.94,4.76,8.22,14.13,15.72,15.04,12.14,7.05,2.38,-5.05
1973,-8.85,-3.10,-0.36,5.99,9.61,16.38,17.11,16.55,12.76,7.34,2.27,-4.19
1974,-6.96,-7.13,1.94,7.01,9.57,14.18,17.12,15.83,12.28,6.32,0.87,-5.71
1975,-7.16,-6.17,-0.63,4.72,8.99,14.62,16.58,16.73,13.04,7.36,-0.83,-4.24
1976,-4.54,-5.54,-1.89,4.78,9.90,14.16,17.64,16.15,12.98,7.74,-0.30,-4.55
1977,-9.85,-5.07,3.96,7.12,9.44,15.67,17.48,16.55,12.96,8.38,3.07,-3.00
1978,-7.25,-4.64,-1.23,6.50,11.03,15.65,16.61,16.62,13.53,8.53,0.06,-1.96
1979,-5.04,-3.35,-0.46,7.26,6.68,14.68,17.84,16.11,13.14,8.95,0.87,-2.54
1980,-7.00,-5.52,-1.00,7.60,10.49,15.22,17.44,16.46,12.78,8.00,3.03,-2.55
1981,-4.92,-3.40,1.70,6.25,10.22,14.14,16.98,16.04,12.74,6.28,1.70,-2.54
1982,-5.48,-6.34,-1.34,5.87,9.43,14.58,17.13,16.41,11.88,7.54,-0.33,-5.15
1983,-5.92,-3.45,-1.79,4.15,9.72,14.22,17.38,17.46,13.62,7.14,2.94,-3.76
1984,-6.02,-7.94,2.45,5.82,11.04,16.44,17.47,17.58,11.88,6.56,2.28,-5.84
1985,-6.11,-1.71,1.29,6.62,9.89,15.74,17.77,16.59,13.42,7.03,1.71,-3.48
1986,-5.61,-3.96,-1.62,5.34,9.93,14.62,17.13,16.09,13.41,8.49,1.47,-4.69
1987,-3.46,-2.35,2.02,5.13,8.38,13.84,16.85,17.58,14.04,6.28,2.33,-1.88
1988,-4.19,-3.26,0.67,7.47,11.01,15.24,18.08,16.36,13.46,7.42,3.46,-1.50
1989,-6.98,-6.11,0.65,4.10,8.01,14.28,16.74,16.10,13.03,8.62,1.85,-1.72
1990,-5.29,-3.88,0.11,4.75,11.92,16.00,17.34,17.46,14.53,7.53,2.97,-4.17
1991,-6.54,-5.04,0.10,4.74,7.80,14.53,17.59,16.80,13.14,7.15,1.60,-2.12
1992,-5.36,-3.87,-0.83,3.75,7.36,14.25,16.59,15.76,11.78,7.24,2.48,-1.66
1993,-6.61,-1.99,-1.05,5.73,10.23,14.45,16.34,16.57,13.37,6.74,1.75,-2.78
1994,-5.09,-5.32,2.25,4.23,9.95,15.63,16.68,16.98,11.02,6.65,3.43,-3.75
