Variable:,tas
Country:,Afghanistan
Subnational-unit:,Uruzgan
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,-0.95,1.11,8.17,12.51,17.45,22.11,25.16,23.37,18.45,10.92,6.81,2.62
1902,1.10,1.49,6.90,11.78,18.62,23.30,24.86,23.71,18.02,11.74,5.72,1.88
1903,-2.21,1.76,2.25,10.40,16.35,22.91,24.70,23.39,18.85,12.68,4.50,0.23
1904,-5.74,2.97,6.66,11.01,17.19,22.42,24.87,23.60,17.84,10.07,7.07,2.82
1905,-2.55,-1.80,3.32,12.16,17.96,23.10,24.81,23.39,17.84,12.95,5.88,0.88
1906,-1.68,-0.07,6.08,9.93,17.80,23.07,24.64,24.33,17.82,12.82,6.06,2.76
1907,0.02,-0.03,5.93,12.52,15.81,21.04,24.89,22.86,17.96,10.13,4.49,1.54
1908,-0.04,1.02,5.53,11.89,16.48,22.68,25.10,22.87,17.50,10.20,6.02,0.96
1909,-2.48,0.86,7.01,13.21,17.12,22.47,24.21,23.57,17.31,11.15,7.91,2.24
1910,-0.25,1.67,5.12,10.94,18.22,22.17,24.89,23.32,17.65,11.39,4.65,-1.64
1911,-2.09,1.60,5.24,11.59,17.72,23.35,24.52,23.45,18.36,11.13,3.68,0.10
1912,-0.76,3.28,6.25,12.31,17.01,22.70,25.28,22.72,16.45,12.66,4.85,0.98
1913,0.53,-0.43,4.30,10.66,18.21,22.14,25.19,22.82,17.97,12.06,5.56,2.93
1914,2.91,1.03,7.24,12.61,17.28,24.44,25.11,23.32,19.05,12.26,5.66,-0.71
1915,0.95,0.80,9.77,12.28,19.84,23.30,24.46,24.44,19.31,11.82,6.92,2.53
1916,1.09,-0.40,7.00,12.84,17.20,21.42,24.38,24.64,18.14,10.69,2.15,1.24
1917,1.84,3.40,6.85,12.36,18.62,22.24,24.46,23.12,17.57,10.49,4.33,0.40
1918,-0.89,1.30,5.47,10.44,18.10,22.04,25.15,23.17,17.73,11.57,4.93,0.62
1919,-1.59,0.46,6.09,12.19,16.58,22.83,25.06,23.11,17.40,11.39,4.86,0.99
1920,-0.26,-1.28,6.58,10.90,15.91,21.72,24.40,22.67,18.24,12.25,4.09,-0.88
1921,-0.44,0.68,6.17,13.27,16.86,22.26,24.94,22.26,17.40,11.30,5.14,2.10
1922,0.10,1.07,7.02,12.69,16.90,22.24,24.84,23.17,17.87,11.65,5.65,1.93
1923,-0.80,0.89,6.97,11.55,16.60,22.42,23.94,23.25,16.24,11.12,4.00,-0.02
1924,-0.52,1.20,7.19,11.73,15.45,21.65,24.75,23.21,16.95,11.54,4.86,0.57
1925,-2.44,-1.28,7.91,13.15,17.74,22.85,25.01,23.12,17.96,12.16,4.74,2.96
1926,0.13,2.22,6.49,10.22,17.13,22.12,24.82,24.02,18.33,11.49,2.46,1.96
1927,-2.62,-0.04,4.82,12.41,17.54,22.40,25.56,23.67,18.28,13.36,5.01,1.97
1928,-1.97,1.30,4.94,12.76,18.07,22.65,24.11,22.41,16.81,11.58,5.54,0.80
